"year","country","deforestation"
"1990","Brazil","70.45802056"
"1991","Brazil","70.00565437"
"1992","Brazil","69.55328817"
"1993","Brazil","69.10092198"
"1994","Brazil","68.64855578"
"1995","Brazil","68.19618958"
"1996","Brazil","67.74382339"
"1997","Brazil","67.29145719"
"1998","Brazil","66.83909099"
"1999","Brazil","66.3867248"
"2000","Brazil","65.9343586"
"2001","Brazil","65.4616709"
"2002","Brazil","64.98898319"
"2003","Brazil","64.51629549"
"2004","Brazil","64.04360779"
"2005","Brazil","63.57092009"
"2006","Brazil","63.09823238"
"2007","Brazil","62.62554468"
"2008","Brazil","62.15285698"
"2009","Brazil","61.68016927"
"2010","Brazil","61.20748157"
"2011","Brazil","61.02332816"
"2012","Brazil","60.83917474"
"2013","Brazil","60.65502133"
"2014","Brazil","60.47086792"
"2015","Brazil","60.286714516"
"2016","Brazil","60.07103255"
"2017","Brazil","59.83288148"
"2018","Brazil","59.70842795"
